date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:40	20505/20505	---M--	200	added ('OK')	text/html	etag:W/%225019-iCdPQ6AFQAAYfvyiJLh3UYVWnek%22	http://www.getweddie.com/sample/falling-hearts	C:/My%20Web%20Sites/weddie/www.getweddie.com/sample/falling-hearts.html	(from )
19:24:40	148/148	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Sun,%2010%20Jan%202021%2013:54:40%20GMT	http://www.getweddie.com/robots.txt		(from )
19:24:41	166/166	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2010%20Jan%202021%2013:54:40%20GMT	http://www.getweddie.com/v2/img/apple-touch-icon.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/apple-touch-icon.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:41	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/My%20Web%20Sites/weddie/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from http://www.getweddie.com/sample/falling-hearts)
19:24:41	140936/140936	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-22688%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	C:/My%20Web%20Sites/weddie/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/css/bootstrap.min.css	(from http://www.getweddie.com/sample/falling-hearts)
19:24:41	214294/214294	---M-Z	200	added ('OK')	text/css	etag:%225eb03f1f-34516%22	https://cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/css/mdb.min.css	C:/My%20Web%20Sites/weddie/cdnjs.cloudflare.com/ajax/libs/mdbootstrap/4.5.8/css/mdb.min.css	(from http://www.getweddie.com/sample/falling-hearts)
19:24:45	16328/16328	---M--	200	added ('OK')	image/png	etag:W/%223fc8-176d103e0c8%22	http://www.getweddie.com/v2/img/pair-groom.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/pair-groom.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:46	19643/19643	---M--	200	added ('OK')	image/png	etag:W/%224cbb-176d103e0c8%22	http://www.getweddie.com/v2/img/pair-bride.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/pair-bride.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:48	67215/67215	---M--	200	added ('OK')	image/png	etag:W/%221068f-176d103e0c8%22	http://www.getweddie.com/v2/img/template_couple_falling_hearts.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/template_couple_falling_hearts.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	55515/55515	---M--	200	added ('OK')	image/png	etag:W/%22d8db-176d103e0c8%22	http://www.getweddie.com/v2/img/story_first_meet_icon.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/story_first_meet_icon.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	24434/24434	---M--	200	added ('OK')	image/png	etag:W/%225f72-176d103e0c8%22	http://www.getweddie.com/v2/img/gallery_bride_groom_template_fireworks.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/gallery_bride_groom_template_fireworks.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	35721/35721	---M--	200	added ('OK')	image/png	etag:W/%228b89-176d103e0c8%22	http://www.getweddie.com/v2/img/gallery_bride_template_fireworks.png	C:/My%20Web%20Sites/weddie/www.getweddie.com/v2/img/gallery_bride_template_fireworks.png	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/weddie/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	19231/19231	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4b1f%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/popper.min.js	C:/My%20Web%20Sites/weddie/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.4/popper.min.js	(from http://www.getweddie.com/sample/falling-hearts)
19:24:52	51039/51039	---M-Z	200	added ('OK')	application/javascript	etag:%225eb04010-c75f%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	C:/My%20Web%20Sites/weddie/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.1.3/js/bootstrap.min.js	(from http://www.getweddie.com/sample/falling-hearts)
